time,Vdc,da,db,dc,Ia,Ib,Ic
0,24,0,0,0,-1.4802957685331e-21,7.40147884266551e-22,7.40147884266551e-22
0.0002,24,0,0,0,2.39999565624691e-05,2.39994678771198e-05,2.40004457230357e-05
0.0004,24,1,1,0,12.5031311305602,12.5587399986173,2.65129923228238e-05
0.0006,24,0,0,0,3.52467312223523e-05,3.53014865603409e-05,2.15011353707505e-05
0.0008,24,0,0,1,2.51939906321917e-05,2.51920143369422e-05,11.9414243661999
0.001,24,0,0,0,2.28060035608583e-05,2.28029453466074e-05,3.59440844073037e-05
0.0012,24,0,0,0,2.39999742414141e-05,2.39967524151793e-05,2.40032095094175e-05
0.0014,24,1,1,0,12.5031456505408,12.5572976629184,2.65155791218048e-05
0.0016,24,0,0,0,3.52467222110866e-05,3.52974827768861e-05,2.15040091103841e-05
0.0018,24,0,0,1,2.51939657967251e-05,2.51895831235076e-05,11.9427823957611
0.002,24,0,0,0,2.28060327377398e-05,2.27999172919575e-05,3.59481720589743e-05
0.0022,24,0,0,0,2.39999769952556e-05,2.39940227673041e-05,2.40059391444476e-05
0.0024,24,1,1,0,12.5031616457053,12.5558572863501,2.65181627364877e-05
0.0026,24,0,0,0,3.52467180011306e-05,3.5293484149172e-05,2.15068789342803e-05
0.0028,24,0,0,1,2.51939436749446e-05,2.51871551244277e-05,11.9441386504604
0.003,24,0,0,0,2.28060648491416e-05,2.27968931598944e-05,3.59522543643127e-05
0.0032,24,0,0,0,2.39999829083769e-05,2.39912967005119e-05,2.40086652120082e-05
0.0034,24,1,1,0,12.5031796623347,12.5544193154772,2.65207424727342e-05
0.0036,24,0,0,0,3.52467202510184e-05,3.52894918133213e-05,2.15097438911847e-05
0.0038,24,0,0,1,2.51939253821971e-05,2.51847310461726e-05,11.9454927355809
0.004,24,0,0,0,2.28061009936124e-05,2.27938738306974e-05,3.59563301352439e-05
0.0042,24,0,0,0,2.39999931271037e-05,2.3988575049007e-05,2.40113869187201e-05
0.0044,24,1,1,0,12.5032002428916,12.5529841957525,2.65233176375729e-05
0.0046,24,0,0,0,3.52467306074925e-05,3.52855069031583e-05,2.15126030903166e-05
0.0048,24,0,0,1,2.5193912025954e-05,2.51823115936507e-05,11.9468442572544
0.005,24,0,0,0,2.28061422615803e-05,2.27908601827936e-05,3.59603981862518e-05
0.0052,24,0,0,0,2.40000086403636e-05,2.39858584955769e-05,2.40141034729096e-05
0.0054,24,1,1,0,12.5032239252335,12.551552371363,2.65258875393613e-05
0.0056,24,0,0,0,3.52467507031193e-05,3.52815305499187e-05,2.15154556952475e-05
0.0058,24,0,0,1,2.51939047042107e-05,2.51798974700057e-05,11.9481928225751
0.006,24,0,0,0,2.28061897337598e-05,2.27878530925048e-05,3.59644573347212e-05
0.0062,24,0,0,0,2.40000305898778e-05,2.39831478844071e-05,2.40168140848371e-05
0.0064,24,1,1,0,12.5032512418262,12.5501242850715,2.65284514879182e-05
0.0066,24,0,0,0,3.52467821539199e-05,3.52775638819559e-05,2.15183007946957e-05
0.0068,24,0,0,1,2.51939045039004e-05,2.51774893764143e-05,11.9495380397122
0.007,24,0,0,0,2.28062444795717e-05,2.27848534337945e-05,3.59685064012782e-05
0.0072,24,0,0,0,2.40000600516854e-05,2.39804440030755e-05,2.40195179669245e-05
0.0074,24,1,1,0,12.5032827189648,12.5487003780577,2.65310087946563e-05
0.0076,24,0,0,0,3.52468265570228e-05,3.52736080244473e-05,2.15211375064601e-05
0.0078,24,0,0,1,2.51939124993229e-05,2.5175088011885e-05,11.9508795180231
0.008,24,0,0,0,2.28063075555793e-05,2.27818620780169e-05,3.5972544210129e-05
0.0082,24,0,0,0,2.40000980345775e-05,2.39777475823575e-05,2.40222143339812e-05
0.0084,24,1,1,0,12.5033188760033,12.5472810897619,2.65335587727142e-05
0.0086,24,0,0,0,3.52468854883434e-05,3.52696640991032e-05,2.1523964951836e-05
0.0088,24,0,0,1,2.51939297505914e-05,2.51726940730584e-05,11.9522168681649
0.009,24,0,0,0,2.28063800039422e-05,2.27788798936661e-05,3.59765695893966e-05
0.0092,24,0,0,0,2.40001456954487e-05,2.39750595136667e-05,2.40249024034294e-05
0.0094,24,1,1,0,12.5033602245936,12.5458668577295,2.65361007370879e-05
0.0096,24,0,0,0,3.52469605002923e-05,3.52657332238754e-05,2.15267823596114e-05
0.0098,24,0,0,1,2.51939573020985e-05,2.51703082540078e-05,11.953549702206
0.01,24,0,0,0,2.280646285089e-05,2.27759077461281e-05,3.59805813714573e-05
0.0102,24,0,0,0,2.40002040124231e-05,2.39723805223228e-05,2.40275813955281e-05
0.0104,24,1,1,0,12.5034072679342,12.5444581174554,2.65386340047628e-05
0.0106,24,0,0,0,3.52470531195148e-05,3.52618165126683e-05,2.15295885479794e-05
0.0108,24,0,0,1,2.51939961810034e-05,2.5167931246042e-05,11.954877633737
0.011,24,0,0,0,2.28065571052176e-05,2.27729464974325e-05,3.5984578393272e-05
0.0112,24,0,0,0,2.40002740002468e-05,2.39697113850073e-05,2.40302505335956e-05
0.0114,24,1,1,0,12.5034605000317,12.5430553022321,2.65411578948456e-05
0.0116,24,0,0,0,3.52471648446639e-05,3.52579150750504e-05,2.15323830653558e-05
0.0118,24,0,0,1,2.5194047395742e-05,2.51655637375081e-05,11.9562002779806
0.012,24,0,0,0,2.28066637568029e-05,2.27699970060068e-05,3.598855949672e-05
0.0122,24,0,0,0,2.40003566545814e-05,2.39670528751209e-05,2.40329090442309e-05
0.0124,24,1,1,0,12.5035204049727,12.5416588429964,2.65436717286952e-05
0.0126,24,0,0,0,3.52472971442121e-05,3.52540300159681e-05,2.15351646353681e-05
0.0128,24,0,0,1,2.51941119345622e-05,2.51632064135967e-05,11.9575172519012
0.013,24,0,0,0,2.28067837751508e-05,2.27670601264313e-05,3.59925235289263e-05
0.0132,24,0,0,0,2.40004529505472e-05,2.39644057625636e-05,2.4035556157534e-05
0.0134,24,1,1,0,12.5035874562104,12.5402691681805,2.65461748300553e-05
0.0136,24,0,0,0,3.52474514543005e-05,3.52501624354593e-05,2.1537932816322e-05
0.0138,24,0,0,1,2.51941907640853e-05,2.51608599561475e-05,11.9588281743136
0.014,24,0,0,0,2.28069181079632e-05,2.27641367091966e-05,3.59964693425909e-05
0.0142,24,0,0,0,2.40005638412936e-05,2.39617708135159e-05,2.40381911073239e-05
0.0144,24,1,1,0,12.5036621158631,12.5388867035612,2.65486665251851e-05
0.0146,24,0,0,0,3.52476291766321e-05,3.52463134283706e-05,2.15406863421604e-05
0.0148,24,0,0,1,2.51942848278964e-05,2.5158525043457e-05,11.9601326659914
0.015,24,0,0,0,2.28070676797378e-05,2.27612276004611e-05,3.60003957963119e-05
0.0152,24,0,0,0,2.40006902565982e-05,2.39591487902219e-05,2.40408131313564e-05
0.0154,24,1,1,0,12.50374483403,12.5375118721145,2.65511461429921e-05
0.0156,24,0,0,0,3.52478316764072e-05,3.52424840840732e-05,2.15434247822893e-05
0.0158,24,0,0,1,2.51943950451638e-05,2.51562023500864e-05,11.9614303497735
0.016,24,0,0,0,2.28072333903971e-05,2.27583336418117e-05,3.60043017549107e-05
0.0162,24,0,0,0,2.40008331014957e-05,2.39565404507732e-05,2.40434214715398e-05
0.0164,24,1,1,0,12.5038360481198,12.536145093868,2.65536130151631e-05
0.0166,24,0,0,0,3.52480602803093e-05,3.52386754861833e-05,2.15461468821669e-05
0.0168,24,0,0,1,2.51945223092908e-05,2.51538925466726e-05,11.9627208506715
0.017,24,0,0,0,2.28074161139493e-05,2.27554556700251e-05,3.60081860897504e-05
0.0172,24,0,0,0,2.40009932549394e-05,2.39539465488951e-05,2.40460153741485e-05
0.0174,24,1,1,0,12.5039361821975,12.5347867857576,2.65560664762972e-05
0.0176,24,0,0,0,3.52483162745364e-05,3.52348887122803e-05,2.1548852119714e-05
0.0178,24,0,0,1,2.51946674866007e-05,2.5151596299739e-05,11.9640037959756
0.018,24,0,0,0,2.28076166971826e-05,2.27525945168311e-05,3.60120476790556e-05
0.0182,24,0,0,0,2.40011715684963e-05,2.39513678337336e-05,2.40485940900363e-05
0.0184,24,1,1,0,12.5040456463485,12.533437361486,2.65585058640384e-05
